log_id,user_id,product_id,session_id,action,timestamp,reject_reason
9,921,1198,sess_548,add_to_cart,2025-12-27 07:14:17.178635,Orphan product_id
17,1034,1194,sess_2654,purchase,2025-09-16 01:40:49.178635,Orphan product_id
22,1024,1145,sess_2470,view,2025-06-21 13:19:52.178635,Orphan product_id
34,759,1189,sess_695,view,2026-01-13 14:29:35.178635,Orphan product_id
39,119,1165,sess_2194,purchase,2025-08-26 23:09:20.178635,Orphan product_id
41,657,276,sess_4397,add_to_cart,2025-08-31 20:48:11.178635,Orphan product_id
44,674,1155,sess_2964,add_to_cart,2026-02-04 06:10:55.178635,Orphan product_id
54,1098,1162,sess_2630,view,2025-08-31 22:28:35.178635,Orphan product_id
61,597,1136,sess_2288,add_to_cart,2025-09-24 06:10:22.178635,Orphan product_id
67,1065,208,sess_4494,add_to_cart,2025-09-20 18:55:09.178635,Orphan product_id
71,452,1146,sess_4159,add_to_cart,2026-04-28 20:27:04.178635,Orphan product_id
77,889,1128,sess_2065,view,2026-05-13 13:02:36.178635,Orphan product_id
83,906,1148,sess_2720,purchase,2025-12-31 18:10:54.178635,Orphan product_id
96,51,1143,sess_2560,view,2026-01-29 09:55:43.178635,Orphan product_id
101,938,1198,sess_4044,purchase,2026-03-15 22:20:00.178635,Orphan product_id
105,1191,1170,sess_3900,purchase,2025-08-20 22:42:06.178635,Orphan product_id
117,738,1158,sess_2756,add_to_cart,2025-11-25 00:35:30.178635,Orphan product_id
129,573,1132,sess_2112,add_to_cart,2025-12-22 09:58:38.178635,Orphan product_id
144,949,1158,sess_2740,view,2026-03-05 18:08:29.178635,Orphan product_id
159,98,1117,sess_2946,view,2026-02-02 11:57:46.178635,Orphan product_id
180,126,891,sess_2283,view,2025-07-17 00:15:29.178635,Orphan product_id
181,687,465,sess_2548,purchase,2026-01-15 21:27:34.178635,Orphan product_id
182,1003,1136,sess_2198,purchase,2025-06-18 07:57:21.178635,Orphan product_id
188,345,1184,sess_2950,purchase,2026-01-15 08:45:10.178635,Orphan product_id
193,155,1134,sess_1569,add_to_cart,2025-06-23 01:29:24.178635,Orphan product_id
194,500,1121,sess_1188,view,2026-06-06 13:07:47.178635,Orphan product_id
199,1174,1190,sess_4095,add_to_cart,2025-12-05 17:52:16.178635,Orphan product_id
223,937,1199,sess_4753,view,2026-03-01 09:08:46.178635,Orphan product_id
227,1103,1167,sess_1916,purchase,2026-02-25 10:44:46.178635,Orphan product_id
231,195,1157,sess_506,purchase,2026-06-08 23:32:03.178635,Orphan product_id
233,411,1160,sess_4201,purchase,2025-08-10 23:42:38.178635,Orphan product_id
257,721,1159,sess_4364,add_to_cart,2026-03-04 22:59:33.178635,Orphan product_id
265,1153,1195,sess_1612,view,2025-08-14 22:38:40.178635,Orphan product_id
268,1046,1127,sess_544,view,2025-09-18 04:50:06.178635,Orphan product_id
341,399,1168,sess_2492,view,2026-03-07 00:51:20.178635,Orphan product_id
355,754,1161,sess_4710,purchase,2026-02-24 23:35:36.178635,Orphan product_id
360,121,1183,sess_48,purchase,2025-06-23 23:35:50.178635,Orphan product_id
368,1119,465,sess_3552,purchase,2026-06-06 03:17:03.178635,Orphan product_id
380,818,1167,sess_545,view,2025-07-04 19:50:01.178635,Orphan product_id
389,743,1198,sess_313,add_to_cart,2025-08-19 08:39:46.178635,Orphan product_id
407,897,1170,sess_988,purchase,2026-04-27 09:07:31.178635,Orphan product_id
416,1048,1101,sess_679,add_to_cart,2026-02-03 12:00:05.178635,Orphan product_id
422,611,1104,sess_4513,purchase,2025-12-28 08:47:25.178635,Orphan product_id
439,470,1193,sess_4949,add_to_cart,2025-08-02 20:34:40.178635,Orphan product_id
450,634,1134,sess_858,view,2026-04-03 22:50:59.181409,Orphan product_id
466,59,1115,sess_718,view,2026-06-11 17:20:06.181409,Orphan product_id
467,844,1121,sess_3937,add_to_cart,2025-07-01 09:40:04.181409,Orphan product_id
507,1054,1125,sess_4425,add_to_cart,2025-09-24 11:05:56.181409,Orphan product_id
531,713,1180,sess_2378,add_to_cart,2026-04-15 10:01:09.181409,Orphan product_id
556,658,1165,sess_3444,add_to_cart,2025-10-03 22:13:09.181409,Orphan product_id
562,1012,276,sess_3579,add_to_cart,2025-09-04 14:39:46.181409,Orphan product_id
568,679,1187,sess_3139,add_to_cart,2026-01-21 13:19:31.181409,Orphan product_id
571,709,1115,sess_2327,add_to_cart,2026-02-24 21:13:56.181409,Orphan product_id
574,698,1176,sess_3872,add_to_cart,2026-03-05 01:50:22.181409,Orphan product_id
584,13,1114,sess_2629,purchase,2025-12-08 00:41:20.181409,Orphan product_id
597,769,1119,sess_1733,purchase,2025-08-02 03:51:36.181409,Orphan product_id
601,1015,1164,sess_614,purchase,2026-03-23 17:30:18.181409,Orphan product_id
607,913,1197,sess_107,purchase,2025-10-07 08:13:10.181409,Orphan product_id
615,537,1128,sess_3120,add_to_cart,2026-05-05 09:05:19.181409,Orphan product_id
620,1197,1147,sess_4763,add_to_cart,2025-07-11 18:50:14.181409,Orphan product_id
629,938,1169,sess_1896,add_to_cart,2025-08-02 14:55:30.181409,Orphan product_id
649,380,1153,sess_4112,add_to_cart,2026-02-04 01:21:20.181409,Orphan product_id
652,985,1104,sess_292,add_to_cart,2025-12-31 21:01:46.181409,Orphan product_id
669,287,1167,sess_2625,view,2026-06-02 14:56:34.181409,Orphan product_id
677,1079,1140,sess_521,add_to_cart,2025-08-24 03:41:45.181409,Orphan product_id
710,289,1115,sess_4897,view,2026-04-26 10:07:06.181409,Orphan product_id
715,862,1142,sess_3020,purchase,2025-08-21 15:55:56.181409,Orphan product_id
718,175,1183,sess_1037,view,2025-08-27 08:25:48.181409,Orphan product_id
726,603,1160,sess_2313,view,2026-05-02 17:35:40.181409,Orphan product_id
727,877,758,sess_1554,purchase,2025-08-18 19:58:58.181409,Orphan product_id
746,578,1128,sess_684,view,2026-02-10 03:15:28.181409,Orphan product_id
748,778,1127,sess_4802,add_to_cart,2025-12-23 17:28:35.181409,Orphan product_id
758,660,1161,sess_237,add_to_cart,2025-12-25 04:35:23.181409,Orphan product_id
759,1064,1156,sess_3074,add_to_cart,2026-02-15 16:37:06.181409,Orphan product_id
769,730,1168,sess_4775,add_to_cart,2025-09-07 17:50:31.181409,Orphan product_id
796,715,1179,sess_4848,purchase,2026-04-29 05:32:44.181409,Orphan product_id
797,318,790,sess_4533,purchase,2025-07-26 01:07:06.181409,Orphan product_id
815,450,1117,sess_9,add_to_cart,2025-07-18 17:32:12.181409,Orphan product_id
826,1169,1190,sess_3237,purchase,2026-05-14 04:04:01.181409,Orphan product_id
851,485,1105,sess_680,view,2026-03-29 05:14:27.181409,Orphan product_id
857,1195,1129,sess_809,purchase,2026-05-02 12:39:18.181409,Orphan product_id
863,245,1198,sess_357,view,2025-12-11 07:23:45.181409,Orphan product_id
873,1045,1199,sess_1363,view,2026-02-24 21:54:05.181409,Orphan product_id
874,56,1110,sess_416,purchase,2026-05-11 17:25:09.181409,Orphan product_id
884,790,1139,sess_2586,add_to_cart,2025-10-19 02:52:05.181409,Orphan product_id
909,989,1113,sess_3338,purchase,2026-03-16 17:36:18.181409,Orphan product_id
916,223,1191,sess_1003,view,2026-04-23 21:51:50.181409,Orphan product_id
939,420,1168,sess_35,add_to_cart,2026-04-25 07:30:45.181409,Orphan product_id
965,1071,1137,sess_4011,purchase,2025-08-27 20:09:08.183414,Orphan product_id
