log_id,user_id,product_id,session_id,action,timestamp,reject_reason
87,,470,sess_1424,purchase,2026-05-30 19:56:11.178635,Missing user_id
158,,335,sess_4982,add_to_cart,2025-10-26 18:00:42.178635,Missing user_id
249,,1035,sess_1412,add_to_cart,2026-02-17 16:00:48.178635,Missing user_id
269,,520,sess_1766,view,2025-12-23 17:42:25.178635,Missing user_id
316,,1017,sess_843,view,2026-04-08 15:23:38.178635,Missing user_id
334,,795,sess_3960,view,2026-02-14 19:47:16.178635,Missing user_id
340,,808,sess_352,add_to_cart,2025-07-13 18:31:31.178635,Missing user_id
356,,370,sess_1038,purchase,2026-04-28 11:58:56.178635,Missing user_id
367,,272,sess_3046,add_to_cart,invalid_timestamp,Missing user_id
370,,1029,sess_1930,view,2026-03-14 08:50:44.178635,Missing user_id
387,,909,sess_354,view,2026-05-23 21:38:58.178635,Missing user_id
397,,85,sess_3234,purchase,2025-10-31 10:33:15.178635,Missing user_id
415,,212,sess_238,add_to_cart,2025-08-31 23:00:45.178635,Missing user_id
508,,402,sess_753,add_to_cart,2025-07-18 04:17:33.181409,Missing user_id
513,,300,sess_469,purchase,2025-08-15 06:50:24.181409,Missing user_id
514,,767,,purchase,2025-06-25 06:05:00.181409,Missing user_id
563,,530,sess_768,add_to_cart,2025-12-05 10:45:50.181409,Missing user_id
585,,1108,sess_200,purchase,2025-11-20 07:28:57.181409,Missing user_id
593,,36,sess_3322,add_to_cart,2026-01-03 21:21:23.181409,Missing user_id
612,,897,sess_733,view,2025-11-27 08:50:22.181409,Missing user_id
674,,323,sess_2601,add_to_cart,2025-06-18 02:41:39.181409,Missing user_id
701,,283,sess_2524,view,2025-07-30 22:06:50.181409,Missing user_id
761,,471,sess_4310,view,2025-10-12 06:45:37.181409,Missing user_id
790,,768,sess_2263,view,2026-05-05 12:05:33.181409,Missing user_id
806,,1158,sess_4358,view,2026-02-02 22:04:04.181409,Missing user_id
832,,1144,sess_369,add_to_cart,2026-05-20 01:37:56.181409,Missing user_id
852,,1182,sess_2178,view,2026-03-02 21:38:14.181409,Missing user_id
856,,275,,purchase,2025-11-16 03:13:34.181409,Missing user_id
861,,766,,purchase,2025-10-02 16:30:50.181409,Missing user_id
903,,221,,add_to_cart,2025-07-21 02:05:49.181409,Missing user_id
904,,548,sess_753,purchase,2025-08-23 14:46:28.181409,Missing user_id
926,,927,,purchase,2025-08-26 13:20:54.181409,Missing user_id
931,,638,sess_2789,purchase,2025-07-14 07:39:55.181409,Missing user_id
936,,1163,sess_119,view,2025-10-21 08:06:53.181409,Missing user_id
972,,4,sess_4159,add_to_cart,2026-03-15 17:53:17.183414,Missing user_id
997,,520,sess_4409,add_to_cart,2026-05-14 23:24:26.183414,Missing user_id
1015,,381,sess_4713,add_to_cart,2025-11-06 07:07:00.183414,Missing user_id
1039,,726,sess_3813,add_to_cart,2026-02-03 17:26:19.183414,Missing user_id
1043,,299,sess_3699,view,2026-02-04 06:36:07.183414,Missing user_id
1085,,939,sess_3855,add_to_cart,2025-11-02 00:55:09.183414,Missing user_id
1093,,17,sess_846,add_to_cart,invalid_timestamp,Missing user_id
1115,,598,sess_234,add_to_cart,2026-02-17 00:55:51.183414,Missing user_id
1126,,31,sess_2537,purchase,2026-06-11 07:10:21.183414,Missing user_id
1130,,1002,sess_2054,purchase,2026-04-29 20:46:10.183414,Missing user_id
1132,,1004,sess_3138,view,2026-05-02 00:08:19.183414,Missing user_id
1138,,172,sess_1677,add_to_cart,2025-08-10 16:36:57.183414,Missing user_id
1143,,583,sess_3007,purchase,2026-06-03 11:13:56.183414,Missing user_id
1158,,1013,sess_3069,view,2026-03-20 22:41:45.183414,Missing user_id
1165,,500,sess_2212,purchase,2025-10-06 03:53:07.183414,Missing user_id
1167,,1154,sess_93,view,2025-09-19 21:23:28.183414,Missing user_id
1172,,1084,sess_3055,view,2026-03-15 08:21:30.183414,Missing user_id
1176,,237,sess_3923,view,invalid_timestamp,Missing user_id
1182,,208,sess_3577,purchase,2026-03-01 09:12:04.183414,Missing user_id
1207,,951,,view,2026-04-24 20:26:28.183414,Missing user_id
1256,,361,sess_2603,add_to_cart,2026-04-20 09:56:46.183414,Missing user_id
1278,,381,sess_4266,purchase,2025-07-25 23:36:49.183414,Missing user_id
1286,,655,sess_1562,add_to_cart,2025-09-23 18:44:50.183414,Missing user_id
1289,,6,sess_1372,add_to_cart,2025-06-19 00:44:53.183414,Missing user_id
1301,,422,sess_713,purchase,2025-11-18 15:01:43.183414,Missing user_id
1319,,377,sess_3956,purchase,invalid_timestamp,Missing user_id
1325,,680,sess_457,add_to_cart,2026-03-08 04:39:47.183414,Missing user_id
1326,,380,sess_33,add_to_cart,2025-08-19 21:04:17.183414,Missing user_id
1349,,1096,sess_387,add_to_cart,2026-04-11 17:41:42.183414,Missing user_id
1361,,1132,sess_293,view,2026-01-27 16:46:56.183414,Missing user_id
1363,,1033,sess_495,purchase,2026-01-20 23:01:46.183414,Missing user_id
1393,,839,sess_2883,view,2026-03-01 21:15:22.183414,Missing user_id
1404,,25,sess_3452,add_to_cart,2026-03-31 15:27:56.183414,Missing user_id
1426,,813,sess_127,view,2025-09-13 06:28:13.183414,Missing user_id
1445,,967,sess_1709,add_to_cart,invalid_timestamp,Missing user_id
1459,,504,sess_4636,view,2025-12-04 10:17:33.185418,Missing user_id
1479,,619,sess_2132,view,2026-05-14 20:13:58.185418,Missing user_id
1503,,911,sess_4945,purchase,2025-09-29 05:58:05.185418,Missing user_id
