log_id,user_id,product_id,session_id,action,timestamp
1,931.0,75,sess_4869,add_to_cart,2025-06-11 03:43:04.178635
2,861.0,859,sess_1318,view,2025-06-11 01:27:45.178635
3,91.0,545,sess_917,add_to_cart,2026-05-28 04:25:53.178635
4,306.0,182,sess_971,add_to_cart,2026-01-26 19:55:59.178635
5,1147.0,518,sess_3853,view,2025-10-19 21:51:10.178635
125,604.0,984,sess_3358,purchase,2025-08-11 04:33:51.178635
7,851.0,491,,purchase,2025-07-01 06:21:30.178635
8,330.0,818,sess_694,add_to_cart,invalid_timestamp
9,921.0,1198,sess_548,add_to_cart,2025-12-27 07:14:17.178635
10,541.0,573,sess_238,purchase,2025-07-30 23:03:43.178635
11,537.0,526,sess_2477,purchase,2025-10-16 18:43:12.178635
12,822.0,427,sess_819,view,2025-06-27 08:05:11.178635
13,37.0,605,sess_33,view,2025-06-20 11:58:30.178635
14,429.0,1054,sess_502,view,2026-04-06 13:37:45.178635
15,658.0,781,sess_4878,purchase,2025-12-27 18:00:08.178635
16,791.0,283,sess_1836,add_to_cart,2026-04-04 16:19:51.178635
17,1034.0,1194,sess_2654,purchase,2025-09-16 01:40:49.178635
18,758.0,1048,sess_1982,add_to_cart,2025-07-03 23:08:43.178635
19,108.0,762,sess_324,purchase,2026-02-20 22:16:22.178635
20,141.0,497,sess_238,view,2026-02-19 18:02:57.178635
21,1090.0,9,sess_2381,add_to_cart,2026-04-13 14:28:30.178635
22,1024.0,1145,sess_2470,view,2025-06-21 13:19:52.178635
23,952.0,858,sess_4967,add_to_cart,2026-03-28 08:19:11.178635
24,300.0,845,sess_956,add_to_cart,2026-03-29 02:46:12.178635
25,848.0,127,sess_3758,purchase,2026-05-04 20:12:57.178635
26,62.0,192,sess_4818,view,2026-04-24 06:13:43.178635
27,379.0,995,sess_4146,view,2025-08-23 18:33:48.178635
28,376.0,112,sess_1911,purchase,2026-04-19 18:18:52.178635
29,245.0,461,sess_2025,purchase,2026-03-28 12:50:27.178635
98,1107.0,41,sess_4293,view,2025-07-22 04:49:21.178635
31,184.0,87,sess_1479,view,2025-12-19 07:06:46.178635
32,86.0,525,sess_4402,add_to_cart,2026-03-03 02:49:19.178635
33,1031.0,1189,,purchase,invalid_timestamp
34,759.0,1189,sess_695,view,2026-01-13 14:29:35.178635
35,421.0,604,sess_1730,add_to_cart,2026-01-22 00:45:11.178635
36,103.0,968,sess_2957,purchase,2025-08-23 15:38:06.178635
37,154.0,658,sess_1335,purchase,2025-12-30 10:09:14.178635
38,983.0,20,sess_1048,add_to_cart,2026-01-29 08:01:59.178635
39,119.0,1165,sess_2194,purchase,2025-08-26 23:09:20.178635
40,1155.0,464,sess_2949,add_to_cart,2025-07-17 01:39:00.178635
41,657.0,276,sess_4397,add_to_cart,2025-08-31 20:48:11.178635
42,79.0,564,sess_3418,add_to_cart,2026-02-08 04:57:49.178635
43,843.0,214,sess_512,add_to_cart,2025-09-21 02:55:46.178635
44,674.0,1155,sess_2964,add_to_cart,2026-02-04 06:10:55.178635
45,436.0,513,sess_12,view,2026-06-06 04:09:16.178635
46,22.0,470,sess_2487,view,2026-04-07 04:11:11.178635
47,843.0,53,sess_3150,add_to_cart,2026-01-22 18:45:05.178635
48,231.0,1043,sess_2467,add_to_cart,2025-07-07 20:45:29.178635
49,828.0,69,sess_4315,add_to_cart,2025-08-20 02:02:52.178635
50,1049.0,537,sess_4346,view,2025-08-21 10:41:52.178635
51,255.0,628,sess_1823,purchase,2025-12-18 14:17:30.178635
52,143.0,795,sess_1646,purchase,2025-10-03 15:24:00.178635
53,1072.0,878,sess_845,purchase,2025-10-27 10:27:27.178635
54,1098.0,1162,sess_2630,view,2025-08-31 22:28:35.178635
55,663.0,313,sess_2102,add_to_cart,2026-02-25 21:06:50.178635
56,614.0,286,sess_874,add_to_cart,2026-01-12 02:18:13.178635
57,308.0,323,sess_2693,view,2025-07-20 22:56:45.178635
58,1020.0,399,sess_584,view,2025-07-06 11:56:15.178635
59,16.0,86,sess_4252,purchase,2025-06-17 14:57:09.178635
60,785.0,235,sess_283,view,2026-05-19 19:07:40.178635
61,597.0,1136,sess_2288,add_to_cart,2025-09-24 06:10:22.178635
62,826.0,747,sess_4005,add_to_cart,2025-12-18 07:16:52.178635
63,947.0,686,sess_3384,purchase,2026-06-03 08:28:48.178635
