log_id,user_id,product_id,session_id,action,timestamp,is_valid_action
1104,401,474,sess_1,purchase,2025-11-02 12:06:07.183414,True
7164,804,779,sess_1,add_to_cart,2025-11-08 17:27:57.218542,True
2763,1005,416,sess_10,add_to_cart,2025-08-16 16:36:22.186925,True
1358,843,909,sess_10,add_to_cart,2025-11-09 01:33:11.183414,True
4117,760,987,sess_10,purchase,2025-12-26 06:42:45.199974,True
12740,613,69,sess_10,purchase,2026-04-12 09:44:38.242937,True
8527,810,284,sess_100,view,2026-03-01 09:18:39.224321,True
1185,629,1034,sess_1000,add_to_cart,2025-09-25 08:41:31.183414,True
8315,777,593,sess_1000,view,2026-03-08 21:56:36.224321,True
10066,31,636,sess_1002,add_to_cart,2025-09-03 21:33:33.228610,True
12474,214,243,sess_1002,view,2025-11-02 16:35:07.240934,True
13512,242,29,sess_1002,add_to_cart,2025-11-04 17:45:43.245946,True
11535,649,239,sess_1004,purchase,2025-11-10 06:04:51.237113,True
9325,789,768,sess_1004,add_to_cart,2025-12-04 04:02:42.228610,True
343,164,409,sess_1005,view,2025-07-04 20:22:35.178635,True
10144,433,269,sess_1005,add_to_cart,2025-11-14 03:26:02.228610,True
6281,1039,876,sess_1005,add_to_cart,2025-12-28 20:51:03.214026,True
453,1009,5,sess_1005,view,2026-02-13 05:01:43.181409,True
13503,224,700,sess_1007,purchase,2025-07-29 00:47:16.245946,True
7748,308,676,sess_1008,add_to_cart,2026-02-16 01:52:00.222317,True
5557,887,448,sess_1009,purchase,2025-09-14 18:16:47.212022,True
9542,314,786,sess_1009,purchase,2025-09-30 06:57:01.228610,True
12336,227,414,sess_1009,purchase,2026-03-06 01:42:10.240934,True
12403,1011,455,sess_1009,view,2026-04-03 10:54:08.240934,True
10694,392,196,sess_101,view,2025-07-14 01:02:31.228610,True
10946,68,58,sess_101,add_to_cart,2026-03-23 16:54:01.228610,True
505,755,342,sess_1010,add_to_cart,2025-12-12 15:07:37.181409,True
13698,640,130,sess_1011,view,2026-02-20 23:33:43.247953,True
12691,391,638,sess_1012,purchase,2025-07-05 15:33:00.242937,True
3174,221,694,sess_1012,view,2025-09-02 22:54:05.186925,True
14199,1092,445,sess_1012,purchase,2026-04-16 19:05:30.249957,True
6966,587,929,sess_1012,add_to_cart,2026-05-30 07:46:33.216529,True
13983,9,1014,sess_1014,view,2025-09-09 04:12:18.247953,True
10562,119,222,sess_1014,purchase,2025-09-20 02:22:13.228610,True
6894,992,109,sess_1014,purchase,2025-11-07 20:42:12.216529,True
1971,183,916,sess_1015,view,2025-07-04 10:23:42.186925,True
4248,70,119,sess_1016,add_to_cart,2026-02-14 10:28:10.199974,True
8749,1014,847,sess_1017,add_to_cart,2025-09-02 14:19:12.226324,True
11317,895,438,sess_1017,view,2025-10-23 09:38:10.237113,True
9573,126,680,sess_1017,add_to_cart,2025-11-28 06:36:38.228610,True
5629,991,868,sess_1018,view,2025-11-09 14:47:25.212022,True
11336,569,608,sess_1018,purchase,2026-02-25 00:41:27.237113,True
12848,357,275,sess_1019,add_to_cart,2025-07-03 06:34:16.242937,True
9670,179,336,sess_1019,purchase,2025-09-22 08:10:01.228610,True
10747,799,131,sess_1019,purchase,2025-10-06 20:36:41.228610,True
4645,99,1018,sess_102,view,2025-09-16 07:42:23.207677,True
7179,178,629,sess_102,view,2025-10-16 04:39:39.218542,True
3867,661,567,sess_102,view,2025-12-11 00:03:02.197951,True
7259,632,974,sess_102,view,2026-01-29 10:26:13.219548,True
10626,730,249,sess_102,purchase,2026-05-09 11:22:25.228610,True
6904,996,160,sess_102,add_to_cart,2026-05-30 03:13:38.216529,True
7236,1098,195,sess_1020,purchase,2025-12-24 08:14:51.219548,True
4250,607,535,sess_1021,add_to_cart,2025-11-24 01:16:44.199974,True
7670,604,315,sess_1021,add_to_cart,2026-01-10 07:56:56.222317,True
4324,161,993,sess_1022,purchase,2025-06-21 01:18:09.202536,True
4091,412,643,sess_1022,view,2025-11-18 17:24:47.199974,True
11459,111,862,sess_1022,add_to_cart,2026-03-15 07:14:17.237113,True
1888,450,11,sess_1023,purchase,2025-11-05 15:04:48.186925,True
7447,479,605,sess_1023,add_to_cart,2025-11-19 15:07:54.219548,True
6253,855,1046,sess_1023,view,2026-01-04 18:52:26.214026,True
248,417,206,sess_1025,add_to_cart,2025-11-14 13:55:19.178635,True
754,151,989,sess_1025,add_to_cart,2026-04-29 17:18:34.181409,True
9973,1050,179,sess_1026,purchase,2025-12-13 22:22:54.228610,True
14702,179,389,sess_1026,purchase,2026-04-20 18:34:56.251960,True
7828,106,282,sess_1026,purchase,2026-04-28 18:06:21.222317,True
3923,300,53,sess_1028,purchase,2026-03-25 05:22:23.197951,True
548,265,825,sess_1029,view,2025-06-23 14:11:01.181409,True
3125,339,1039,sess_1029,view,2025-12-11 01:03:23.186925,True
11802,636,580,sess_1029,view,2025-12-29 14:56:45.238931,True
14345,1022,261,sess_103,purchase,2026-01-29 19:52:46.249957,True
2075,298,354,sess_1030,view,2025-10-31 21:40:11.186925,True
5286,732,1074,sess_1031,purchase,2025-07-15 05:24:41.211509,True
2229,357,104,sess_1031,view,2025-07-16 08:28:51.186925,True
3029,602,887,sess_1031,add_to_cart,2026-01-07 06:53:42.186925,True
5443,526,621,sess_1031,purchase,2026-03-15 13:39:56.212022,True
5229,602,170,sess_1032,view,2025-09-18 18:13:15.209185,True
13849,887,167,sess_1033,purchase,2025-07-30 11:48:29.247953,True
14587,106,274,sess_1033,purchase,2025-12-22 16:50:29.251960,True
3352,320,967,sess_1034,add_to_cart,2025-09-27 04:28:42.186925,True
767,402,360,sess_1034,view,2025-12-30 15:07:02.181409,True
432,816,133,sess_1034,purchase,2026-04-20 21:04:34.178635,True
8024,700,66,sess_1035,add_to_cart,2025-09-26 08:13:44.222317,True
4515,444,531,sess_1035,purchase,2026-01-03 14:04:02.203543,True
14874,3,306,sess_1035,view,2026-02-07 13:02:06.253968,True
12665,224,281,sess_1036,add_to_cart,2025-08-14 18:41:39.242937,True
6779,864,772,sess_1037,purchase,2026-06-02 14:30:25.216529,True
4179,824,70,sess_1038,view,2026-01-19 22:49:03.199974,True
5458,101,651,sess_1038,view,2026-05-29 04:12:09.212022,True
6302,202,854,sess_1039,view,2025-06-28 08:09:33.214026,True
5989,697,968,sess_1039,view,2025-09-08 09:06:22.214026,True
9826,363,1038,sess_1039,purchase,2025-09-27 04:53:04.228610,True
3393,135,684,sess_1039,view,2026-05-03 16:49:02.186925,True
9855,915,804,sess_104,purchase,2025-09-01 13:47:31.228610,True
6970,254,519,sess_104,purchase,2025-11-07 09:10:13.216529,True
9287,709,500,sess_1040,view,2025-10-09 07:28:10.228610,True
4115,98,771,sess_1040,add_to_cart,2026-02-26 10:11:45.199974,True
3522,55,1053,sess_1041,view,2025-10-17 20:19:27.186925,True
14107,790,325,sess_1041,add_to_cart,2026-01-09 21:28:50.249957,True
7951,1006,564,sess_1041,add_to_cart,2026-04-07 02:17:34.222317,True
7358,326,398,sess_1041,view,2026-04-26 23:36:21.219548,True
11913,792,852,sess_1042,view,2025-10-27 08:00:08.238931,True
12692,347,538,sess_1042,purchase,2026-03-14 04:46:01.242937,True
11784,824,435,sess_1042,purchase,2026-05-15 22:45:28.238931,True
7312,52,172,sess_1043,purchase,2025-08-04 04:25:55.219548,True
9133,985,847,sess_1043,purchase,2025-09-28 10:06:49.228610,True
8191,1002,656,sess_1043,add_to_cart,2025-12-29 11:28:47.224321,True
794,292,510,sess_1043,purchase,2026-01-09 11:28:31.181409,True
10762,246,808,sess_1043,purchase,2026-02-13 03:21:44.228610,True
12494,558,117,sess_1043,view,2026-04-30 07:38:23.240934,True
13364,462,76,sess_1045,purchase,2026-03-28 15:38:49.245946,True
6914,558,476,sess_1045,view,2026-04-23 23:30:22.216529,True
11386,1097,673,sess_1046,purchase,2025-11-13 15:01:10.237113,True
10781,36,218,sess_1046,purchase,2026-04-03 21:00:33.228610,True
6486,682,642,sess_1046,add_to_cart,2026-04-20 03:36:19.216529,True
11529,150,869,sess_1046,purchase,2026-05-09 10:07:58.237113,True
14651,413,510,sess_1047,view,2025-07-10 20:42:36.251960,True
6534,296,1002,sess_1047,purchase,2025-08-06 02:28:29.216529,True
11258,481,779,sess_1047,purchase,2025-09-10 04:27:59.237113,True
6928,19,734,sess_1047,view,2025-11-01 14:48:48.216529,True
14155,1093,508,sess_1047,purchase,2026-03-19 21:58:22.249957,True
13642,201,66,sess_1048,add_to_cart,2026-02-19 01:20:42.247953,True
7055,95,504,sess_1049,purchase,2025-08-21 17:11:27.218542,True
