session_id,user_id,session_start,session_end,total_actions,total_views,total_purchases,total_add_to_cart,unique_products,duration_seconds,conversion_rate,is_abandoned_cart,is_high_activity
sess_1,401,2025-11-02 12:06:07.183414,2025-11-08 17:27:57.218542,2,0,1,1,2,537710.035128,0.0,False,False
sess_10,1005,2025-08-16 16:36:22.186925,2026-04-12 09:44:38.242937,4,0,2,2,4,20624896.056012,0.0,False,False
sess_100,810,2026-03-01 09:18:39.224321,2026-03-01 09:18:39.224321,1,1,0,0,1,0.0,0.0,False,False
sess_1000,629,2025-09-25 08:41:31.183414,2026-03-08 21:56:36.224321,2,1,0,1,2,14217305.040907,0.0,True,False
sess_1002,31,2025-09-03 21:33:33.228610,2025-11-04 17:45:43.245946,3,1,0,2,3,5343130.017336,0.0,True,False
sess_1004,649,2025-11-10 06:04:51.237113,2025-12-04 04:02:42.228610,2,0,1,1,2,2066270.991497,0.0,False,False
sess_1005,164,2025-07-04 20:22:35.178635,2026-02-13 05:01:43.181409,4,2,0,2,4,19298348.002774,0.0,True,False
sess_1007,224,2025-07-29 00:47:16.245946,2025-07-29 00:47:16.245946,1,0,1,0,1,0.0,0.0,False,False
sess_1008,308,2026-02-16 01:52:00.222317,2026-02-16 01:52:00.222317,1,0,0,1,1,0.0,0.0,True,False
sess_1009,887,2025-09-14 18:16:47.212022,2026-04-03 10:54:08.240934,4,1,3,0,4,17339841.028912,3.0,False,False
sess_101,392,2025-07-14 01:02:31.228610,2026-03-23 16:54:01.228610,2,1,0,1,2,21829890.0,0.0,True,False
sess_1010,755,2025-12-12 15:07:37.181409,2025-12-12 15:07:37.181409,1,0,0,1,1,0.0,0.0,True,False
sess_1011,640,2026-02-20 23:33:43.247953,2026-02-20 23:33:43.247953,1,1,0,0,1,0.0,0.0,False,False
sess_1012,391,2025-07-05 15:33:00.242937,2026-05-30 07:46:33.216529,4,1,2,1,4,28397612.973592,2.0,False,False
sess_1014,9,2025-09-09 04:12:18.247953,2025-11-07 20:42:12.216529,3,1,2,0,3,5156993.968576,2.0,False,False
sess_1015,183,2025-07-04 10:23:42.186925,2025-07-04 10:23:42.186925,1,1,0,0,1,0.0,0.0,False,False
sess_1016,70,2026-02-14 10:28:10.199974,2026-02-14 10:28:10.199974,1,0,0,1,1,0.0,0.0,True,False
sess_1017,1014,2025-09-02 14:19:12.226324,2025-11-28 06:36:38.228610,3,1,0,2,3,7489046.002286,0.0,True,False
sess_1018,991,2025-11-09 14:47:25.212022,2026-02-25 00:41:27.237113,2,1,1,0,2,9280442.025091,1.0,False,False
sess_1019,357,2025-07-03 06:34:16.242937,2025-10-06 20:36:41.228610,3,0,2,1,3,8258544.985673,0.0,False,False
